K9900,Ia,112,EA,MII,FF 15-3-39 54S 21-3-39 SOC 12-12-39 bboc 152S 2-1-40 57OTU 1-2-41 FAAC 27-3-41 AST 21-6-41 53OTU 3-9-41 RN Yeovilton 7-9-42 761S Henstridge 11-42 to 1-43 759S Yeovilton 2-43 Retracted u/c too quickly on takeoff sank damaged tail and prop Cat X 11-2-43 (Lt AC Wallace) EF on approach heavy landing Cat Y 28-10-43 (S/L ED Pye) To 45MU SOC 30-12-44
K9901,Ia,113,EA,MII,"FF 16-3-39 54S ""DL-D"" 20-3-39 152S 16-1-40 Hit by return fire from Ju87 and abandoned 5m S of Portland 25-7-40 1CRU 28-7-40 FH262-30"
K9902,Ia,114,EA,MII,FF 17-3-39 54S 22-3-39 152S 1-3-40 damaged in forced landing after collision 20-4-40 SOC 20-5-40
K9903,Ia,115,EA,MII,FF 17-3-39 65S 21-3-39 damaged ops 28-5-40 64S 3-9-40 crashed on patrol nr Ternhill 6-9-40 SOC 7-10-40
K9904,Ia,116,EA,MII,FF 19-3-39 65S 22-3-39 FAC2 23-9-40 53OTU 21-7-41 bellylanded while lost Cwmffrwd Carmarthen 3-9-41 SOC 9-9-41
K9905,Ia,117,EA,MII,FF 19-3-39 65S 24-3-39 RAE 11-39 shot down in Dover area by Bf109 Flt/Sgt Phillips killed dbf 8-8-40 SOC 14-8-40
K9906,Ia,118,EA,MII,"FF 21-3-39 65S ""FZ-L later ""YT-T"" 24-3-39 64S 17-4-40 FA 23-5-40 7OTU 11-10-40 ASTH 18-10-41 Cv PRIII Type C 1PRU Benson 26-2-42 FACE 18-3-42 8OTU 17-6-42 Scottish Aviation 29-11-42 RNDA 22-5-43 759S Yeovilton 7-43 to 9-43 u/c collapsed landing Cat Y 16-8-43 (S/L PD Gardner)"
K9907,Ia,119,EA,MII,FF 23-3-39 65S Missing believed shot down by Bf109 nr Dover 8-7-40 S/Ldr Cooke killed
K9908,Ia,120,EA,MII,FF 21-3-39 65S 24-3-39 AMDP R-RH 16-1-40 FA 29-5-40 AST damaged ops 26-8-40 610S 27-8-40 HAL 11-9-40 7OTU 13-10-40 u/c collapse during maint CAC 12-40 SOC 1-6-41
K9909,Ia,121,EA,MII,"FF 22-3-39 65S ""FZ-O"" 25-3-39 shot down by Bf109 nr Dover Sgt Keymer killed 22-8-40 SOC 8-10-40"
K9910,Ia,122,EA,MII,FF 23-3-39 65S 28-3-39 crash-landed 5-39 602S 6-3-40 Damaged by return fire from Do17s and crashlanded Crocker Hill Boxgrove Sussex P/O Webb injured 9-9-40
K9911,Ia,123,EA,MII,FF 24-3-39 65S 28-3-39 shot down by Bf109 Dover dbf Sgt Kirton killed 8-8-39
K9912,Ia,130,EA,MII,"FF 25-3-39 65S ""YT-O"" 4-4-39 Damaged by Bf109 and crashlanded on beach Dunkerque 26-5-40 SOC 14-8-40 test bed for MIII and DeH 3-blade 2-speed prop"
K9913,Ia,124,EA,MII,"FF 25-3-39 65S ""FZ-L"" 26-3-39 u/c raised prematurely on take-off sank back on to ground and u/c collapsed Hornchurch 27-7-39 to 1632M 5SoTT 12-8-39 SOC 15-3-44"
K9914,Ia,125,EA,MII,FF 26-3-39 65S 1-4-39 AST 9-1-40 66S 4-6-40 eng fire crash-landed Coltishall 8-7-40 SOC 21-8-40
K9915,Ia,126,EA,MII,FF 27-3-39 65S 30-3-39 AST 24-5-40 65S 30-5-40 Presumed shot down by Bf109s on patrol off Deal P/O Pyman killed 16-8-40
K9916,Ia,127,EA,MII,FF 28-3-39 65S 1-4-39 603S 14-12-39 FTR on patrol F/O Peel assumed dead 17-7-40
K9917,Ia,128,EA,MII,FF 29-3-39 65S 1-4-39 Hit tree attempting to forceland while iced up Aldermaston Berks 5-12-39 SOC 3-1-40
K9918,Ia,129,EA,MII,FF 30-3-39 65S 1-4-39 4MU 31-5-40 611S 4-6-40 4MU 6-6-40 7OTU 21-8-40 FAC2 31-8-40 34S 3-9-40 1CRU 7-9-40 CB 24MU 14-11-40 53OTU 8-4-41 61OTU 11-7-41 to 2768M SOC 30-9-41
K9919,Ia,131,EA,MII,FF 31-3-39 65S 4-4-39 Stalled on night approach and hit ground Hornchurch 9-8-39 4MU 4-12-39 SOC rtp
K9920,Ia,132,EA,MII,FF 1-4-39 65S 12-4-39 engine failed crashed North Foreland Kent CE 22-5-40 SOC 27-5-40
K9921,Ia,133,EA,MII,FF 2-4-39 65S 12-4-39 FA 28-5-39 54MU 31-5-40 7OTU 16-8-40 FA 25-9-40 FA 28-12-40 to 2457M SOC 18-1-41
K9922,Ia,134,EA,MII,FF 3-4-39 72S 11-4-39 Crashed on landing during night training flight Acklington CE 27-8-40 43MU 30-8-40 SOC 3-9-40
K9923,Ia,143,EA,MII,FF 3-4-39 72S 21-4-39 wheels up landing Church Fenton 13-7-39 rtp
K9924,Ia,135,EA,MII,FF 4-4-39 72S 11-4-39 AST 6MU 15-11-40 58OTU 28-12-40 12MU 1-1-41 58OTU 2-2-41 CB 21-5-42 33MU 22-9-43 53OTU 24-10-43 CAC 3-2-44 CE SOC 11-8-44
K9925,Ia,136,EA,MII,"FF 4-4-39 72S ""C"" 11-4-39 stalled on approach u/c collapsed cartwheeled Woolsington 26-5-40 SOC 14-6-40"
K9926,Ia,137,EA,MII,"FF 6-4-39 72S ""B"" 14-4-39 603S CE SOC 31-5-40"
K9927,Ia,138,EA,MII,FF 11-4-39 74S 14-4-39 wheels up landing Church Fenton 19-7-39 SOC 28-8-39
K9928,Ia,151,EA,MII,"FF 19-4-39 72S 21-4-39 74S ""ZP-W""10-5-40 struck by lightning crashed nr Margate dbf Sgt White killed 8-7-40 49MU 8-7-40 SOC 31-7-40"
K9929,Ia,139,EA,MII,FF 12-4-39 72S 14-4-39 damaged ops 3-8-40 Westland 27-9-40 8MU 17-10-40 7OTU 24-10-40 34MU 19-12-40 52OTU 31-1-41 Overshot landing at night Aston Down FACB 17-6-41 AST recat E1 24-7-42
K9930,Ia,140,EA,MII,FF 12-4-39 54S 15-4-39 152S 23-2-40 AST 10-9-40 53OTU 7-9-41 aircraft abandoned jammed control crashed nr Cowbridge Glam 11-9-41
K9931,Ia,141,EA,MII,"FF 13-4-39 74S 18-4-39 AST 8-5-40 610S ""DW-R"" 7-7-40 Shot down by Bf109s crashed dbf P/O Gardiner injured 25-8-40"
K9932,Ia,142,EA,MII,FF 14-4-39 74S 19-4-39 engine failed crashed force-landing Canvey Island Essex 4-5-40 SOC 13-5-40
K9933,Ia,145,EA,MII,FF 15-4-39 72S 17-4-39 602S 23-11-39 AST 25-1-40 7OTU 13-7-40 Scottish Aviation 27-9-40 OTU 2-1-41 53OTU 17-7-41 struck by P9368 while parked Llandow CE 14-12-42 recat B 57OTU 28-7-43 SOC 6-3-45
K9934,Ia,146,EA,MII,"FF 15-4-39 72S ""SD-K"" 18-4-39 2SoTT 4-9-39 AST 30-11-39 5OTU 4-6-40 7OTU 30-8-40 FAC2 22-9-40 58OTU 31-12-40 to 3083M 1SoTT 16-5-42"
K9935,Ia,147,EA,MII,FF 16-4-39 72S 19-4-39 damaged by Bf109 over Channel F/Sgt Steere safe 5-10-39 58OTU 9-3-41 stalled dived into ground Acklington 14-4-41 Scottish Aviation 18-4-41 SOC 30-4-41
K9936,Ia,148,EA,MII,FF 18-4-39 72S 21-4-39 FAC2 2-7-40 58OTU 2-1-41 57OTU 30-7-41 52OTU 23-8-41 57OTU 1-11-41 52OTU 9-7-42 57OTU 29-8-43 85GCF 10-5-44
K9937,Ia,149,EA,MII,"FF 17-4-39 72S ""SD-B"" 19-4-39 Braked to avoid overshooting and tipped up Church Fenton 30-6-39 SOC 21-7-39 rtp"
K9938,Ia,150,EA,MII,"FF 18-4-39 72S ""SD-H"" later ""ZP-W"" 21-4-39 shot down by Bf109 aircraft abandoned crashed nr Herne Bay dbf Sgt Norfolk safe 2-9-40"
K9939,Ia,152,EA,MII,FF 19-4-39 72S 21-4-39 AST 18-12-39 222S 31-8-40 shot down by Bf109 crashed Northam P/O Edridge killed 30-10-40 (Edridge was shot down 3 times in BoB)
K9940,Ia,153,EA,MII,FF 19-4-39 72S 24-4-39 damaged in air raid Biggin Hill FAC2 6-10-40 58OTU 1-1-41 CGS 9-7-41 FAAC 27-12-41 53OTU 27-11-43 u/c jammed up bellylanded Kirton-in-Lindsey FAAC 21-2-44 42OTU 12-8-44 SOC 20-12-44
K9941,Ia,154,EA,MII,FF 21-4-39 72S 24-4-39 Control lost in cloud crashed Hooton Roberts Yorks 21-8-39
K9942,Ia,155,EA,MII,FF 21-4-39 72S 24-4-39 bellylanded on return from patrol Acklington 5-6-40 7OTU 17-8-40 57OTU 17-8-40 FACB 6-2-42 53OTU 10-4-43 RNDA 17-3-44 33MU 6-4-44 82MU 15-5-44 52MU 28-8-44 RAF Museum Hendon as SD-V 8383M flown by F/O JB Nicholson VC extant 1984 [c/n 6S.30225]
K9943,Ia,156,EA,MII,FF 21-4-39 72S 24-4-39 MMO 9-7-39 7OTU 17-6-40 AST 22-11-40 to 3229M 13-3-41 5SoTT
K9944,Ia,157,EA,MII,FF 22-4-39 66S 27-4-39 SF Northolt 19-10-39 snow guard and eng trials 27-2-40 VHF radio trials 4-40 comparison ailerons trials with Curtiss H-75 Hawkinge and Gloster F.5/34. Hawkinge superior to Spit in dive attack and dogfight but Spit could break off combat due to higher speed 609S 4-6-40 54S 8-6-40 19S 17-6-40 66S 18-7-40 Shot down by Bf109s nr Gillingham Kent 5-9-40 F/Lt Christie injured SOC 11-11-40 RAE 4-41 trials with double trail edge flaps perforated with holes later slots Spoiler was fitt to tailplane. trials with fabric ailerons which tended to reverse at high Mach numbers in dive and lost effectiveness at 400mph. FH237.25
K9945,Ia,158,EA,MII,FF 22-4-39 first aircraft to have designation FIa 66S 27-4-39 616S 15-11-39 AST 2-2-40 7OTU 21-7-40 RAE 9-40 FAC2 24-10-40 57OTU 19-12-40 CGS 11-10-41 1CRU 28-7-42 58OTU 26-1-43 Ran out of fuel and bellylanded nr Grangemouth FACE 1-6-43 SOC 30-6-43
K9946,Ia,159,EA,MII,FF 24-4-39 66S 28-4-39 616S 17-11-39 engine failed crashed force-landing nr Catfoss 5-3-40 RAE 8-40 SOC 16-8-40
K9947,Ia,160,EA,MII,FF 25-4-39 66S 28-4-39 616S 14-11-39 AST 2-6-40 610S 10-8-40 shot down Sgt Gardner force-landed Wye 14-8-40 222S 23-9-40 58OTU 9-2-41 CGS 9-7-41 222S crashed force-landing into pond nr Kings Lynn Norfolk CE 13-4-42 ASTH SOC
K9948,Ia,161,EA,MII,"FF 26-4-39 66S 28-4-39 74S ""JH-H"" 2-5-39 616S 11-11-39 FTR ops 1-6-40 FH244.50"
K9949,Ia,162,EA,MII,FF 26-4-39 66S 28-4-39 hit obst night landing Duxford 1-6-39 FH26.50
K9950,Ia,163,EA,MII,FF 27-4-39 66S 2-5-39 616S 8-11-39 611S 3-6-40 GAL 7-6-40 damaged landing Sgt Burt safe 22-7-40 64S 29-9-40 fire in flight aircraft abandoned over Tunbridge Wells Kent 28-11-40
K9951,Ia,164,EA,MII,FF 28-4-39 74S 2-5-39 92S 12-9-40 Scottish Aviation 1-10-40 53OTU 17-7-41 FAAC 28-1-42 53OTU collision with P8249 landing Llandow CE 27-5-42
K9952,Ia,165,EA,MII,FF 28-4-39 74S 2-5-39 FTR Dunkirk 24-5-40
K9953,Ia,166,EA,MII,"FF 28-4-39 74S 2-5-39 92S 12-4-40 RAE 6-40 pilot A G ""Sailor"" Malancha 7OTU 1-11-40 FAAC 4-3-41 AST 10-3-41 57OTU 16-6-42 air collision with R6883 crashed nr Eshott CE 7-10-43"
K9954,Ia,167,EA,MII,FF 1-5-39 54S 5-5-39 152S 27-12-39 Damaged by Bf109 off Portland 5-8-40 SOC 20-8-40
K9955,Ia,168,EA,MII,FF 1-5-39 54S 5-5-39 602S 8-11-39 damaged by Bf109 off Beachy Head Sussex force-landed 4-9-40 AST to 3267M 10SoTT SOC 18-9-44
K9956,Ia,170,EA,MII,FF 1-5-39 65S 6-5-39 603S 4-12-39 overturned in crashlanding in heavy rain Drem 17-4-40 AST SOC 13-5-40
K9957,Ia,171,EA,MII,FF 2-5-39 65S 6-5-39 74S 6-12-39 FTR Dunkirk 21-5-40
K9958,Ia,172,EA,MII,FF 2-5-39 73S 8-5-39 Westland 9-9-40 64S 2-10-40 53OTU 16-7-41 Stalled on landing and u/c collapsed Llandow 9-9-41 ASTE 15-9-41
K9959,Ia,173,EA,MII,FF 4-5-39 72S 8-5-39 1CRU 26-8-40 1PRU 9-10-40 engine failed crashed force-landed Long Marston Herts 22-1-41
K9960,Ia,174,EA,MII,"FF 3-5-39 10MU 6-5-39 610S ""DW-P"" 2-10-39 222S 17-6-40 610S 23-7-40 FA 17-8-40 72S 5-9-40 hit obst while taxy Croydon 7-9-40 Damaged by Bf109 over Ashford aircraft abandoned crashed Orlestone Sgt Bell-Walker safe 14-9-40"
K9961,Ia,178,EA,MII,FF 8-5-39 602S 10-5-39 AST 29-2-40 7OTU 21-7-40 58OTU 1-41 CGS 9-7-41 crashed force-landing Ternhill while being ferried by 6FPP CAC 15-5-42 recat B recat E 26-5-42 FH297.55
K9962,Ia,175,EA,MII,FF 4-5-39 602S 8-5-39 AST 4-3-40 222S 3-9-40 shot down by Bf109 crashed West Malling Kent Sgt Ramshaw killed 4-9-40
K9963,Ia,176,EA,MII,FF 4-5-39 602S 8-5-39 AST 27-11-39 611S 4-6-40 234S 1-9-40 603S 6-9-40 C3 ops 5-10-40 SOC
K9964,Ia,179,EA,MII,"FF 8-5-39 602S 10-5-39 1CRU 21-5-40 64S ""SH-W"" 14-8-40 shot down nr Calais P/O Roberts safe POW 15-8-40"
K9965,Ia,177,EA,MII,FF 5-5-39 602S 10-5-39 Lost height in turn after night take-off on training flight and flew into ground nr Abbotsinch 8-9-39 pilot killed SOC 3-10-39
K9966,Ia,180,EA,MII,"FF 8-5-39 602S ""ZT-E"" 12-5-39 u/c collapse on takeoff Abbotsinch 8-7-39 SOC 15-8-39 rtp"
K9967,Ia,181,EA,MII,"FF 8-5-39 602S ""ZT-O"" 10-5-39 wheels up landing MMO 30-5-39 7OTU 17-6-40 19S 3-9-40 7OTU 10-9-40 crash-landing Hawarden 14-9-40 C3 SOC 23-9-40"
K9968,Ia,182,EA,MII,FF 9-5-39 602S 12-5-39 66S crashed Duxford 6-9-39 pilot killed SOC rtp
K9969,Ia,183,EA,MII,FF 10-5-39 602S 18-5-39 damaged ops nr Southampton F/O Fergusson crashed after striking H/T cables CAC 18-8-40 1416Flt Hendon 3-4-41 140S 3-4-41 HAL 18-7-42 RN Arbroath 4-9-42 761S Henstridge 11-42 While stationary hit by taxying Master W9026 45MU 11-9-44 SOC 26-1-45 DBR
K9970,Ia,184,EA,MII,"FF 10-5-39 602S 12-5-39 611S ""DW-V"" 4-6-40 wheels up landing Digby P/O Lund safe 28-7-40 1CRU 3-8-40 610S 9-9-40 602S 14-12-40 engine failed crashed force-landing nr West Kilbride CE 6-1-41 SOC 17-1-41"
K9971,Ia,185,EA,MII,FF 11-5-39 602S 18-5-39 overshot landing skidded on wet ground and hit hedge Church Fenton 18-7-39 SOC rtp
K9972,Ia,188,EA,MII,FF 11-5-39 602S 16-5-39 MMO 23-9-39 7OTU 22-7-40 FACB 28-8-40 57OTU crashed force-landed Rhyl North Wales dbf 25-4-41 SOC 10-5-41
K9973,Ia,189,EA,MII,FF 12-5-39 602S 16-5-39 MMO 30-11-39 SOC 10-11-42
K9974,Ia,186,EA,MII,FF 12-5-39 602S 15-5-39 overshot landing struck L1079 Drem C3 26-11-39 63MU 7-12-39 SOC 16-1-40
K9975,Ia,187,EA,MII,FF 15-5-39 602S 18-5-39 AST 11-2-40 610S 14-9-40 222S 23-9-40 GAL 1-10-40 58OTU 13-1-41 FAAC 4-2-41 57OTU 29-5-42 dived into ground nr Sealand 29-5-42 CE
K9976,Ia,190,EA,MII,FF 15-5-39 602S 18-5-39 AST 14-11-39 5OTU 4-6-40 7OTU 21-8-40 FAC2 6-9-40 AST 25-2-41 53OTU 21-7-41 spun into ground nr Hemingstone Suffolk 11-9-41 SOC 18-9-41
K9977,Ia,191,EA,MII,FF 16-5-39 602S 18-5-39 lost wing during aerobatics crashed Haddington CE Lothian 30-12-39 Sgt Bailey killed SOC 11-2-40
K9978,Ia,192,EA,MII,FF 16-5-39 602S 18-5-39 Ran out of fuel while lost on night patrol forcelanded and hit hedge nr Dunbar CE Lothian 2-3-40 SOC 13-5-40
K9979,Ia,197,EA,MII,FF 16-5-39 602S 22-5-39 ASTH 14-11-39 7OTU 22-9-40 FAO crashed CB 25-9-40 52OTU 31-10-41 CB ops 25-4-42 GAL 12-7-42 31SLG 12-12-42 52OTU 3-6-43 58OTU 21-6-43 FAAC 12-9-43 2CTW 20-10-43 1TEU 26-2-44 crashed 25-5-44 Scottish Aviation 12-8-44 CE 28-8-44
K9980,Ia,193,EA,MIII,FF 16-5-39 first with MIII eng 611S 19-5-39 152S 15-2-40 FAC3 21-7-40 SOC 22-10-40 FH182-10
K9981,Ia,194,EA,MIII,FF 17-5-39 611S 19-5-39 AST 5-3-40 611S 4-6-40 7OTU 21-8-40 crashed force-landing River Dee nr Flint 12-9-40 SOC 3-10-40
K9982,Ia,195,EA,MIII,FF 17-5-39 611S 20-5-39 152S 9-2-40 shot down off IoW 16.40hrs F/O Deanesley abandoned aircraft injured 26-9-40 SOC
K9983,Ia,196,EA,MIII,FF 18-5-39 611S 20-5-39 616S 9-2-40 AST 17-5-40 7OTU 16-8-40 FAC2 15-11-40 58OTU 26-3-41 to 3275M 10SoTT 18-12-42 CE 3-8-44
K9984,Ia,198,EA,MIII,FF 19-5-39 611S 22-5-39 616S 9-2-40 FA 27-4-40 7OTU 21-7-40 FAC2 21-9-40 SOC 3-10-40
K9985,Ia,199,EA,MIII,FF 19-5-39 611S 22-5-39 Flew into ground out of cloud on navex 5mn SW of Wattisham 2-9-39 P/O Leech killed SOC FH54.30
K9986,Ia,200,EA,MIII,FF 20-5-39 66S 22-5-39 crashed at night Duxford 6-9-39 SOC 18-9-39
K9987,Ia,201,EA,MIII,"FF 22-5-39 66S ""RB-V"" 23-5-39 Hit hedge on approach and crash-landed Duxford 31-9-39 SOC FH53.90"
K9988,Ia,202,EA,MIII,FF 23-5-39 66S 23-5-39 616S 14-11-39 CE SOC 16-3-40
K9989,Ia,203,EA,MIII,FF 23-5-39 66S 10-9-39 611S 9-2-40 FA 8-6-40 72S Biggin Hill 9-9-40 collision with X4544 during scramble 09.35hrs P/O Sutton killed 5-10-40
K9990,Ia,204,EA,MIII,FF 23-5-39 66S 10-9-39 611S 30-11-39 152S shot down by AA fire from British Convoy aircraft abandoned off IoW 18-7-40 FH149.15
K9991,Ia,205,EA,MIII,FF 24-5-39 41S 8-9-39 64S 17-4-40 shot down by Bf109 08.30hrs P/O Donahue safe C2 5-8-40 ASTH 57OTU 1-11-40 takeoff in coarse pitch Sealand hit bank CE 13-3-41 61OTU 30-8-41 GAL 8-9-41 Portugal 18-9-43
K9992,Ia,206,EA,MIII,FF 24-5-39 74S 28-9-39 shot down Dunkirk 31-5-40
K9993,Ia,207,EA,MIII,FF 24-5-39 66S 30-9-39 19S 30-11-39 FA 13-6-40 GAL 19-6-40 41S 10-9-40 222S 13-9-40 shot down by Bf109 11.50hrs P/O Asheton abandoned aircraft Malden Surrey 20-9-40
K9994,Ia,208,EA,MIII,FF 25-5-39 74S 28-9-39 ASTH 1-12-39 7OTU 18-6-40 FA 5-7-40 AST 65S 20-10-40 57OTU 28-11-40 Hit sea force-landed on beach Prestatyn North Wales 8-6-41 SOC CE 10-41
K9995,Ia,209,EA,MIII,FF 26-5-39 504S 2-11-39 603S 6-11-39 C2 ops 19-7-40 1CRU 602S 19-8-40 65S 27-8-40 FA 27-8-40 Cunliffe-Owen 57OTU hit ground fly low off Dee Estuary 8-6-41 ros 57OTU 6-9-41 FACE total wreck 21-9-41 SOC 14-10-41
K9996,Ia,210,EA,MIII,FF 31-5-39 504S 2-11-39 603S 6-11-39 AST 15-11-39 266S 17-8-40 616S 7-9-40 57OTU 4-1-41 FACB 26-3-41 crashed on takeoff Hawarden engine failed CE 30-7-41 SOC 9-8-41
K9997,Ia,211,EA,MIII,FF 1-6-39 504S 2-11-39 603S 6-11-39 AST 6-1-40 FACB 17-4-40 609S 4-6-40 damaged enemy action 12-8-40 7OTU 5-10-40 Scottish Aviation 22-4-41 53OTU 17-7-41 ros 20-9-41 Swung on landing and tipped up Llandow later hit by X4891 CE 24-1-42
K9998,Ia,212,EA,MIII,FF 1-6-39 504S 2-11-39 603S 6-11-39 AST 24-2-40 92S 2-7-40 7OTU 1-11-40 Westland 4-11-40 7OTU 4-11-40 57OTU FACB 16-8-41 crash-landed Hawarden 26-8-41 1CRU to 2822M 6SoTT 27-12-41
K9999,Ia,213,EA,MIII,"FF 1-6-39 10MU 5-6-39 611S ""FY-D"" 18-9-39 152S 15-2-40 shot down by Ju88 off IoW 12-8-40"
L1000,Ia,214,EA,MIII,"FF 2-6-39 10MU 7-6-39 610S ""DW-M"" 2-10-39 shot down by AA fire nr Hawkinge 10-7-40 GAL 7OTU 15-9-40 AST 22-2-41 140S 1-7-41 1CRU 6-7-41 82MU 7-11-42 Tarantia 8-11-42 Port Sudan 29-1-43 73OTU ""10"""
L1001,Ia,215,EA,MIII,FF 2-6-39 10MU 7-6-39 610S 3-10-39 74S 28-5-40 616S 28-9-40 FAC2 5-10-40 57OTU 4-1-41 3SGR 25-4-42 8OTU 24-5-42 FACB 19-9-42 LMS 21-9-42 57OTU 25-4-43 Scottish Aviation 14-8-44 SOC 16-8-44
L1002,Ia,216,EA,MIII,FF 5-6-39 10MU 7-6-39 602S C2 ops 10-9-40 602S 24-9-40 damaged night landing 27-9-40 58OTU 29-1-41 collision with Miles Master nr Grangemouth dbf 10-3-41 SOC 21-3-41
L1003,Ia,217,EA,MIII,FF 5-6-39 10MU 7-6-39 610S 7-10-39 Missing presumed shot down by Bf109s off Dunkerque 27-5-40 FH114.10
L1004,Ia,218,EA,MIII,FF 5-6-39 10MU 7-6-39 602S GAL 12-9-39 58OTU 13-1-41 Scottish Aviation 2-6-41 Cv Va M45 57OTU 6-8-41 FACB 26-8-41 ASTH 5-9-41 HAL 4-8-42 install cameras and accessories VA 10-12-42 Cv PRXIII second proto HAL 16-2-43 mods AAEE 3-43 M32 wts and CG load cool trials with trop mods. Climb and level speed and diving trials HAL 14-5-43 VASM 15-5-43 Cv Seafire MkIII proto RNDA 3-3-44 808S Henstridge heavy landing port u/c torn off 29-4-44 (S/L L Martin RNZN) HAL 23-5-44 SOC 28-3-45
L1005,Ia,219,EA,MIII,FF 7-6-39 10MU 12-6-39 602S 24-9-39 C2 ops 18-8-40 57OTU 23-10-40 AST 13-4-41 Crashed in forced landing Pontesbury Salop 7-12-41 SOC 9-12-41
L1006,Ia,220,EA,MIII,FF 6-6-39 10MU 12-6-39 610S 2-10-39 Missing presumed shot down by Bf109s nr Dunkerque 29-5-40 SOC 6-40
L1007,Ia,233,EA,MIII,"FF 15-6-39 AMDP 21-6-39 2x20mm cannon install VA AAEE 21-6-39 hand and perf trials 603S ""XT-K"" AFDU 10-39 65S 5-11-39 609S 18-4-40 as proto MkIB 72S Drem shot down Heinkel over Scotland 1-40 ? Landed on top of L1085 on landing Drem 15-5-40 SOC CE 28-5-40"
L1008,Ia,221,EA,MIII,FF 7-6-39 10MU 14-6-39 610S 2-10-39 AST 28-12-39 609S 8-6-40 RAE 6-40 pilot F/Lt J Dundas force-landed Glastonbury Sgt Hughes-Rees safe 25-9-40 C2 AST to 3242M 6SoTT 11-3-41
L1009,Ia,222,EA,MIII,FF 7-6-39 10MU 14-6-39 610S 3-10-39 92S 18-10-39 C2 ops 14-8-40 7OTU 1-11-40 57OTU 1-11-40 engine failed undershot in force-landed Sealand 2-5-41 53OTU 18-8-41 Ran out of fuel and bellylanded Llandow FACB 26-8-41 AST SOC 10-41
L1010,Ia,223,EA,MIII,FF 8-6-39 10MU 13-6-39 610S 3-10-39 222S 26-6-40 222S glycol leak Sgt Johnson abandoned aircraft 07.30hrs 3-9-40
L1011,Ia,224,EA,MIII,FF 9-6-39 10MU 12-6-39 610S 4-10-39 damaged ops 29-5-40 266S 17-8-40 41S 17-9-40 222S 18-9-40 AST 5-11-40 to 3236M 6SoTT 27-3-41 CE SOC 25-11-44
L1012,Ia,225,EA,MIII,FF 10-6-39 5MU 13-6-39 616S 7-11-39 overshot runway C2 30-8-40 AST 5-9-40 57OTU 15-11-40 AST 4-12-40 5SoTT 11-3-41 FACB 6-5-42 damaged ops 28-8-42 SOC 30-9-42 to 3223M 5SoTT 24-1-44 rtp
L1013,Ia,226,EA,MIII,FF 12-6-39 5MU 14-6-39 164S 610S 3-10-39 damaged ops 1-6-40 SOC FH153.55
L1014,Ia,227,EA,MIII,FF 12-6-39 5MU 14-6-39 610S 4-10-39 FAAC 16-4-40 MMO 92S 14-9-40 7OTU 1-11-40 58OTU 7-6-41 53OTU 14-9-41 spun out of cloud crashed Skirrid Abergavenny CE 8-3-42
L1015,Ia,228,EA,MIII,FF 13-6-39 5MU 16-6-39 610S 4-10-39 AST 15-1-40 5OTU 7-7-40 to 3253M 7SoTT 26-3-41 SOC 22-5-44
L1016,Ia,229,EA,MIII,"FF 14-6-39 6MU 16-6-39 610S ""DW-Q"" 4-10-39 Missing presumed shot down by Bf110s nr Dunkerque 27-5-40 SOC 1-7-40 FH185.15"
L1017,Ia,230,EA,MIII,FF 15-6-39 5MU 19-6-39 610S 4-10-39 AST 31-5-40 603S 1-9-40 AST 6-9-40 7OTU 28-9-40 FAC2 10-10-40 AST to 3206M 4SoTT 11-3-41 CE 23-9-44
L1018,Ia,231,EA,MIII,FF 14-6-39 602S 17-6-39 FAC2 28-1-40 5OTU 13-7-40 19S 3-9-40 7OTU 10-9-40 Scottish Aviation 25-9-40 58OTU 4-1-41 FAAC 17-3-41 Damaged in collision and crash landed Grangemouth 15-5-41 SOC 28-5-41
L1019,Ia,232,EA,MIII,FF 15-6-39 602S 24-6-39 shot down by Ju87 nr Portsmouth 14.37hrs Sgt Whall safe 18-8-40 SOC 29-10-40 FH209.40
L1020,Ia,234,EA,MIII,"FF 16-6-39 20MU 20-6-39 603S ""XT-L"" 15-9-39 Damaged by Bf109s and crash landed nr Bford Essex CE ops 6-9-40 SOC 21-9-40"
L1021,Ia,235,EA,MIII,FF 16-6-39 20MU 26-6-39 603S 15-9-39 shot down force-landed nr Lympne P/O Hillary safe 29-8-40 57OTU 4-4-43 57OTU 18-11-43 CE SOC 6-3-45
L1022,Ia,236,EA,MIII,FF 19-6-39 20MU 26-6-39 603S 15-9-39 Collided with Oxford on landing Montrose 20-3-40 SOC 4-40
L1023,Ia,237,EA,MIII,FF 17-6-39 20MU 26-6-39 603S 15-9-39 stalled crashed in finals Turnhouse 7-10-39 total wreck SOC
L1024,Ia,238,EA,MIII,FF 19-6-39 20MU 26-6-39 603S 15-9-39 damaged ops 1-9-40 57OTU 23-10-40 FACC 9-5-41 52OTU 16-5-42 AEAF CF 20-1-44 SOC 2-6-47
L1025,Ia,239,EA,MIII,FF 20-6-39 20MU 26-6-39 603S 15-9-39 u/c jam after heavy touch and go landing aircraft abandoned CE 26-4-40 SOC 6-5-40
L1026,Ia,240,EA,MIII,FF 20-6-39 20MU 20-6-39 603S 15-9-39 lost in fog on convoy patrol flew into ground Slains Aberdeen 19-3-40
L1027,Ia,241,EA,MIII,FF 22-6-39 20MU 29-6-39 19S 8-10-39 602S 21-12-39 shot down by Bf110 16.14hrs P/O Rose injured 11-9-40 53OTU 17-7-41 stalled crash-landed Llandow CE 28-9-41 SOC 4-10-41
